"GSA
Organization",Region,Award Status,Product or Service Description,"Place of Performance
(City)","Place of Performance
(State)",Primary NAICS Code,Socioeconomic Category,Contract Type,Procurement Method,Competition Strategy,From (Min),To (Max),Delivery Order Value,"Incumbent Contractor Name
(if applicable)","Contract/Order Number
(if applicable)","New Requirement
or Exercise of Option or Recompete",Funding Agency/Office,Estimated Solicitation Date,"Link to Solicitation in FedBizOpps
(if available)","Estimated Award Fiscal Year
and Quarter","Point of Contact
(Name)","Point of Contact
(Email Address)",OSBU Small Business Technical Advisor (SBTA),Additional Information
PBS-Public Buildings Service,R1-New England Region,Awarded,JFK FOB High Rise Fire Alarm design,Boston,MA,541330,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,"$100,000.00","$250,000.00",,N/A,GS-01P-14-BW-D-0026/GS-P-01-15-BW-5018,New Requirement,GSA funded,10/16/14,,FY 2015-1st Quarter,Caitlin Rogers,caitlin.rogers@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",Design Awarded
PBS-Public Buildings Service,R1-New England Region,Awarded,Replace Sidewalk Access Panel - Williams FOB,Boston,MA,238320,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,"$250,000.00","$500,000.00",,N/A,GS-01P-13-BZ-D-0003/GS-P-01-15-BZ-5018,New Requirement,GSA funded,To Be Determined,,FY 2015-3rd Quarter,Caitlin Rogers,caitlin.rogers@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Awarded,ISA for SSA Regional Office 5th Floor - O'Neill FOB,Boston,MA,541330,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,"$25,000.00","$100,000.00",,N/A,GS-01P-14-BW-D-0027/GS-P-01-15-BW-5057,New Requirement,GSA funded,To Be Determined,,FY 2015-4th Quarter,Caitlin Rogers,caitlin.rogers@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",Design Awarded 3/19/15
PBS-Public Buildings Service,R1-New England Region,Planning,ISA for SSA Regional Office 5th Floor - O'Neill FOB,Boston,MA,238320,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,"$500,000.00","$1,000,000.00",,N/A,TBD,New Requirement,GSA funded,To Be Determined,,FY 2015-4th Quarter,Caitlin Rogers,caitlin.rogers@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Solicitation Issued,Preparation of shell space 14th floor McCormack FOB.,Boston,MA,238320,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,"$1,000,000.00","$1,500,000.00",,N/A,TBD,New Requirement,GSA funded,3/12/15,,FY 2015-3rd Quarter,Stephanie Klein,stephanie.klein@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Solicitation Issued,ISA DOL-VETs space in JFK FOB,Boston,MA,238320,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,"$100,000.00","$135,000.00",,N/A,TBD,New Requirement,GSA funded,1/14/15,,FY 2015-3rd Quarter,Stephanie Klein,stephanie.klein@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Administrative Support Services,Boston,MA,561110,To Be Determined,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,To Be Determined,$0.00,"$2,600,000.00",,Patriot Technologies LLC,GS-01P-12-BW-D-0012,New Requirement,GSA funded,To Be Determined,,FY 2015-3rd Quarter,Camille Hogan,camille.hogan@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",more information about the socioeconomic status will be available at the end of Q3
PBS-Public Buildings Service,R1-New England Region,Planning,Replace Gate System,New Bedford,MA,238990,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$40,000.00",,N/A,TBD,New Requirement,GSA funded,To be Determined,,FY 2015-2nd Quarter,David Hall,david.hall@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Architect Engineer for Design of Madawaska LPOE,Madawaska,ME,541310,Woman-Owned Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Competitive Delivery Order Fair Opportunity Provided,"$600,000.00","$700,000.00",,Studio G,,New Requirement,GSA funded,3/1/15,,FY 2015-Quarter To Be Determined,Deborah Fournier,deborah.fournier@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Solicitation Issued,Lee Courthouse Window Replacement,New Haven,CT,238130,Small Business,Firm Fixed Price,Negotiated,Set-Aside,"$3,900,000.00","$4,500,000.00",,N/A,,New Requirement,GSA funded,1/15/15,https://www.fbo.gov/spg/GSA/PBS/1PC/Window_Rehab_Lee_FB/listing.html,FY 2015-2nd Quarter,Deborah Fournier,deborah.fournier@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Formative,Architect Engineer for Seawall Retrofit at Williams Federal Building,Boston,MA,Undetermined,Small Business,Firm Fixed Price,To Be Determined,To Be Determined,$0.00,$0.00,,N/A,,New Requirement,To Be Determined,2nd Quarter FY ' 15,,FY 2015-2nd Quarter,Deborah Fournier,deborah.fournier@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,IRS Site Lighting,Andover,MA,Undetermined,To Be Determined-IDIQ,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Competitive Delivery Order,"$196,000.00","$196,000.00",,N/A,,New Requirement,Non-GSA funded,,,FY 2015-1st Quarter,Deborah Fournier,deborah.fournier@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",multiple award IDIQ contractors are Sm Business
PBS-Public Buildings Service,R1-New England Region,Planning,IRS AV Network,Andover,MA,Undetermined,To Be Determined-IDIQ,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Competitive Delivery Order,"$85,000.00","$85,000.00",,N/A,,New Requirement,Non-GSA funded,,,FY 2015-1st Quarter,Deborah Fournier,deborah.fournier@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",multiple award IDIQ contractors are Sm Business
PBS-Public Buildings Service,R1-New England Region,Drafting Solicitation,BAS Upgrades & Pneumatic to DDC Controls at O'Neill Federal Building,Boston,MA,541310,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Competitive Delivery Order Fair Opportunity Provided,"$15,000.00","$25,000.00",,BBIX,TBD,New Requirement,GSA funded,2/2/15,,FY 2015-3rd Quarter,Deborah Fournier,deborah.fournier@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Drafting Solicitation,Elevator Upgrades at O'Neill Federal Building,Boston,MA,541310,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Competitive Delivery Order Fair Opportunity Provided,"$250,000.00","$300,000.00",,BBIX,TBD,New Requirement,GSA funded,2/2/15,,FY 2015-3rd Quarter,Deborah Fournier,deborah.fournier@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Drafting Solicitation,Fire Alarm System Upgrade at O'Neill Federal Building,Boston,MA,541310,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Competitive Delivery Order Fair Opportunity Provided,"$25,000.00","$35,000.00",,BBIX,TBD,New Requirement,GSA funded,2/2/15,,FY 2015-3rd Quarter,Deborah Fournier,deborah.fournier@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Solicitation Issued,SSA MOVE,Torrington,CT,484210,Small Business,Firm Fixed Price,Purchase Order,Full and Open Competition,$0.00,"$13,650.00",,N/A,TBD,New Requirement,Non-GSA funded,10/14/14,,FY 2015-1st Quarter,Derek Lata,derek.lata@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Solicitation Issued,Replace USDC Courtroom 2 Carpet,Bridgeport,CT,238330,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,$0.00,"$13,395.00",,N/A,TBD,New Requirement,Non-GSA funded,10/8/14,,FY 2015-1st Quarter,Derek Lata,derek.lata@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Solicitation Issued,US Bankruptcy lunchroom tile replacement,Bridgeport,CT,238330,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,$0.00,"$15,590.48",,N/A,TBD,New Requirement,Non-GSA funded,10/8/14,,FY 2015-1st Quarter,Derek Lata,derek.lata@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Exterior Envelope Repair,Bridgeport,CT,238990,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$60,000.00",,n/A,TBD,New Requirement,GSA funded,to be determined,,FY 2015-1st Quarter,Derek Lata,derek.lata@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Sealcoat & Stripe Parking Lot,Bridgeport,CT,238990,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,$30.00,,n/A,TBD,New Requirement,GSA funded,to be determined,,FY 2015-1st Quarter,Derek Lata,derek.lata@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,ISA for OSHA,BRIDGEPORT,CT,238990,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$4,441.00",,N/A,TBD,New Requirement,GSA funded,To be Determined,,FY 2015-2nd Quarter,Derek Lata,derek.lata@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Exterior Envelope Repair,Bridgeport,CT,238990,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$10,000.00",,N/A,TBD,New Requirement,GSA funded,To be Determined,,FY 2015-2nd Quarter,Derek Lata,derek.lata@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Exterior Envelope Repair,Bridgeport,CT,238990,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$50,000.00",,N/A,TBD,New Requirement,GSA funded,To be Determined,,FY 2015-2nd Quarter,Derek Lata,derek.lata@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,Sealcoat and Stripe Parking Lot,Bridgeport,CT,238990,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,$0.00,"$30,000.00",,N/A,TBD,New Requirement,GSA funded,To be Determined,,FY 2015-2nd Quarter,Derek Lata,derek.lata@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Cooling Tower & Chiller Replacement, Gignoux Courthouse",Portland,ME,238220,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,"$500,000.00","$1,000,000.00",,n/a,TBD,New Requirement,GSA funded,1/20/15,,FY 2015-2nd Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Judges Chambers Renovations, Gignoux Courthouse",Portland,ME,236220,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,"$500,000.00","$1,000,000.00",,n/a,TBD,New Requirement,Non-GSA funded,2/1/15,,FY 2015-2nd Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Drafting Solicitation,"Fire Alarm System Replacement, Burlington Federal Building",Burlington,VT,238210,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,"$500,000.00","$1,000,000.00",,n/a,TBD,New Requirement,GSA funded,10/24/14,,FY 2015-1st Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Design of Barrier Wall System, SSA Building",Presque Isle,ME,541310,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,"$25,000.00","$75,000.00",,n/a,TBD,New Requirement,Non-GSA funded,10/30/14,,FY 2015-1st Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Construction of Barrier Wall System, SSA Building",Presque Isle,ME,236220,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,"$250,000.00","$500,000.00",,n/a,TBD,New Requirement,Non-GSA funded,3/1/15,,FY 2015-3rd Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Design - Replace Air Handling Units, US Customs House",Portland,ME,541310,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,"$30,000.00","$65,000.00",,n/a,TBD,New Requirement,GSA funded,11/15/14,,FY 2015-1st Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Replace Air Handling Units, US Customs House",Portland,ME,238220,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,"$250,000.00","$500,000.00",,n/a,TBD,New Requirement,GSA funded,4/1/15,,FY 2015-3rd Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Design of ISA for USDA FSA, St. Albans Federal Building",St. Albans,VT,541310,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,"$75,000.00","$100,000.00",,n/a,TBD,New Requirement,Both,11/15/14,,FY 2015-1st Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"ISA for USDA FSA, St. Albans Federal Building",St. Albans,VT,236220,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,"$500,000.00","$1,000,000.00",,n/a,TBD,New Requirement,Both,4/30/15,,FY 2015-3rd Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Design of Envelope Repairs, Muskie Federal Building",Augusta,ME,541310,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,"$15,000.00","$30,000.00",,n/a,TBD,New Requirement,GSA funded,11/10/14,,FY 2015-1st Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Envelope Repairs, Muskie Federal Building",Augusta,ME,238910,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,"$100,000.00","$250,000.00",,n/a,TBD,New Requirement,GSA funded,5/1/15,,FY 2015-3rd Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Design of Roof Replacement, Ferry Point LPOE",Calais,ME,541310,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,"$15,000.00","$30,000.00",,n/a,TBD,New Requirement,GSA funded,11/3/14,,FY 2015-1st Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Roof Replacement, Ferry Point LPOE",Calais,ME,238160,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,"$100,000.00","$250,000.00",,n/a,TBD,New Requirement,GSA funded,5/1/15,,FY 2015-4th Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Design of Residence Renovations, Coburn Gore LPOE",Coburn Gore,ME,541310,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,"$15,000.00","$30,000.00",,n/a,TBD,New Requirement,GSA funded,11/5/14,,FY 2015-1st Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,"Residence Renovations, Coburn Gore LPOE",Coburn Gore,ME,236220,Small Business,Firm Fixed Price,To Be Determined,Set-Aside,"$100,000.00","$250,000.00",,n/a,TBD,New Requirement,GSA funded,4/1/15,,FY 2015-3rd Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
PBS-Public Buildings Service,R1-New England Region,Planning,New Term IDIQ Construction Multiple Award procurement for Maine & New Hampshire,,VARIOUS LOCATIONS,236220,Small Business,Firm Fixed Price,Indefinite Delivery Vehicle (IDV),Set-Aside,"$15,000,000.00","$15,000,000.00",,"Ganneston Construction, P&S Consruction, Shroeder Construction & CCB, Inc.",,New Requirement,Both,10/30/14,https://www.fbo.gov/spg/GSA/PBS/1PK-ME/GS-01P-14-BZ-D-0022/listing.html,FY 2015-3rd Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov","Seed Project: Probation ISA, Norris Cotton FB, Manchester, NH, Est. Range: $100,000-$250,000"
PBS-Public Buildings Service,R1-New England Region,Planning,"Design of Repair/Repave Asphalt Driveway, Burlington Federal Building",Burlington,VT,541310,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Set-Aside,"$20,000.00","$40,000.00",,n/a,TBD,New Requirement,GSA funded,11/5/14,,FY 2015-3rd Quarter,Donna Maffeo,donna.maffeo@gsa.gov,"Jerry Smith, 617-565-8102, jerry.d.smith@gsa.gov",
